"filename", "language", "JavaScript", "Vue.js", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\README.md", "Markdown", 0, 0, 22, 0, 0, 0, 9, 31
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 6
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\package-lock.json", "JSON", 0, 0, 0, 0, 12112, 0, 1, 12113
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\package.json", "JSON", 0, 0, 0, 0, 48, 0, 1, 49
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\public\index.html", "HTML", 0, 0, 0, 17, 0, 2, 3, 22
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\APIs\bot.js", "JavaScript", 86, 0, 0, 0, 0, 0, 10, 96
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\APIs\user.js", "JavaScript", 30, 0, 0, 0, 0, 2, 5, 37
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\App.vue", "Vue.js", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\components\Footer.vue", "Vue.js", 0, 43, 0, 0, 0, 0, 3, 46
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\components\Login.vue", "Vue.js", 0, 156, 0, 0, 0, 0, 8, 164
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\components\LoginTemp.vue", "Vue.js", 0, 16, 0, 0, 0, 0, 4, 20
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\components\Navigator.vue", "Vue.js", 0, 96, 0, 0, 0, 0, 6, 102
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\main.js", "JavaScript", 21, 0, 0, 0, 0, 1, 7, 29
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\router\index.js", "JavaScript", 43, 0, 0, 0, 0, 0, 6, 49
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\store\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\tools\apiTool.js", "JavaScript", 34, 0, 0, 0, 0, 2, 5, 41
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\tools\frontTool.js", "JavaScript", 31, 0, 0, 0, 0, 17, 8, 56
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\views\Bot.vue", "Vue.js", 0, 1016, 0, 0, 0, 17, 35, 1068
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\views\BotList.vue", "Vue.js", 0, 252, 0, 0, 0, 4, 7, 263
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\views\Home.vue", "Vue.js", 0, 366, 0, 0, 0, 2, 7, 375
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\src\views\UserInfo.vue", "Vue.js", 0, 206, 0, 0, 0, 4, 6, 216
"d:\Desktop\study\软件测试分析\应用大作业\ucloud_client\vue.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 14
"Total", "-", 279, 2163, 22, 17, 12160, 51, 136, 14828